id_proveedor_producto|id_proveedor|id_producto|sku_proveedor|precio_referencia|dias_entrega|cantidad_minima|activo
1|1|64|TC-HO-001|8150.00|5|2|1
2|1|65|TC-MP-002|12300.00|7|1|1
3|2|64|OM-HO-101|8425.00|4|3|1
4|3|66|EN-DC-210|1640.00|6|5|1
5|4|67|TB-RUN-305|1180.00|8|4|1
6|5|68|MO-BOT-450|385.00|3|10|1
7|1|69|TC-LP-009|18750.00|7|1|1
8|6|70|LU-LIM-700|610.00|2|8|1
9|1|71|TC-KIT009|1525.00|5|2|1
10|3|72|EN-KIT010|1630.00|6|3|1
11|2|73|OM-KIT011|209.00|4|5|1
12|1|53|TC-KIT001|650.00|5|2|1
13|1|1|TC-SKU001|5000.00|5|2|1
14|5|2|MO-SKU002|15.00|3|10|1
15|1|3|TC-SKU003|12500.00|5|2|1
16|5|4|MO-SKU004|28.00|3|10|1
17|4|5|TB-SKU005|145.00|8|4|1
18|4|6|TB-SKU006|310.00|8|4|1
19|3|7|EN-SKU007|620.00|6|3|1
20|3|8|EN-SKU008|780.00|6|3|1
21|1|9|TC-SKU009|890.00|5|2|1
22|1|10|TC-SKU010|95.00|5|2|1
23|1|11|TC-SKU011|540.00|5|2|1
24|5|12|MO-SKU012|65.00|3|10|1
25|5|13|MO-SKU013|32.00|3|10|1
26|5|14|MO-SKU014|48.00|3|10|1
27|4|15|TB-SKU015|720.00|8|4|1
28|4|16|TB-SKU016|330.00|8|4|1
29|3|17|EN-SKU017|510.00|6|3|1
30|3|18|EN-SKU018|1450.00|6|3|1
31|1|19|TC-SKU019|2100.00|5|2|1
32|1|20|TC-SKU020|1850.00|5|2|1
33|5|21|MO-SKU021|35.00|3|10|1
34|5|22|MO-SKU022|92.00|3|10|1
35|4|23|TB-SKU023|110.00|8|4|1
36|4|24|TB-SKU024|75.00|8|4|1
37|3|25|EN-SKU025|460.00|6|3|1
38|3|26|EN-SKU026|390.00|6|3|1
39|1|27|TC-SKU027|58.00|5|2|1
40|1|28|TC-SKU028|95.00|5|2|1
41|1|29|TC-SKU029|980.00|5|2|1
42|5|30|MO-SKU030|38.00|3|10|1
43|5|31|MO-SKU031|46.00|3|10|1
44|4|32|TB-SKU032|180.00|8|4|1
45|4|33|TB-SKU033|420.00|8|4|1
46|3|34|EN-SKU034|510.00|6|3|1
47|3|35|EN-SKU035|390.00|6|3|1
48|1|36|TC-SKU036|85.00|5|2|1
49|1|37|TC-SKU037|2850.00|5|2|1
50|5|38|MO-SKU038|72.00|3|10|1
51|5|39|MO-SKU039|340.00|3|10|1
52|4|40|TB-SKU040|190.00|8|4|1
53|4|41|TB-SKU041|620.00|8|4|1
54|3|42|EN-SKU042|480.00|6|3|1
55|3|43|EN-SKU043|1150.00|6|3|1
56|1|44|TC-SKU044|520.00|5|2|1
57|1|45|TC-SKU045|260.00|5|2|1
58|5|46|MO-SKU046|88.00|3|10|1
59|5|47|MO-SKU047|54.00|3|10|1
60|4|48|TB-SKU048|155.00|8|4|1
61|4|49|TB-SKU049|175.00|8|4|1
62|3|50|EN-SKU050|310.00|6|3|1
63|3|51|EN-SKU051|590.00|6|3|1
64|1|52|TC-SKU052|420.00|5|2|1
65|2|54|OM-SKU054|38.00|4|5|1
66|7|55|FJ-SKU055|185.00|4|3|1
67|6|56|LU-SKU056|42.00|2|8|1
68|7|57|FJ-SKU057|145.00|4|3|1
69|8|58|DJ-SKU058|210.00|5|4|1
70|8|59|DJ-SKU059|260.00|5|4|1
71|9|60|MC-SKU060|175.00|3|6|1
72|10|61|AN-SKU061|98.00|4|4|1
73|11|62|AB-SKU062|52.00|2|12|1
74|11|63|AB-SKU063|31.00|2|12|1
