id_anaquel|id_almacen|nombre_anaquel|activo|fecha_creacion|fecha_actualizacion
1|1|A1-01|1|2024-07-21|2024-07-21
2|1|B2-04|1|2024-07-21|2024-07-21
3|2|P5-01|1|2026-07-20|2026-07-20
4|3|F6-02|1|2026-07-03|2026-07-03
5|4|L7-03|1|2026-07-20|2026-07-20
6|5|J8-04|1|2026-07-20|2026-07-20
7|6|D9-05|1|2026-07-20|2026-07-20
8|7|T10-06|1|2026-07-07|2026-07-07
9|8|M11-07|1|2026-07-20|2026-07-20
10|9|A12-08|1|2026-07-20|2026-07-20
11|10|B13-09|1|2026-07-20|2026-07-20
12|11|C14-10|1|2026-07-11|2026-07-11
13|1|E3-01|1|2026-07-21|2026-07-21
14|2|F4-02|1|2026-07-21|2026-07-21
15|3|R5-03|1|2026-07-21|2026-07-21
16|4|R6-04|1|2026-07-21|2026-07-21
17|5|H7-05|1|2026-07-21|2026-07-21
18|6|H8-06|1|2026-07-21|2026-07-21
19|7|E9-07|1|2026-07-21|2026-07-21
20|8|E10-08|1|2026-07-21|2026-07-21
21|9|E11-09|1|2026-07-21|2026-07-21
22|10|F12-10|1|2026-07-21|2026-07-21
23|11|F13-11|1|2026-07-21|2026-07-21
24|1|F14-01|1|2026-07-21|2026-07-21
25|2|R15-02|1|2026-07-21|2026-07-21
26|3|R16-03|1|2026-07-21|2026-07-21
27|4|H17-04|1|2026-07-21|2026-07-21
28|5|H18-05|1|2026-07-21|2026-07-21
29|6|E19-06|1|2026-07-21|2026-07-21
30|7|E20-07|1|2026-07-21|2026-07-21
31|8|F21-08|1|2026-07-21|2026-07-21
32|9|F22-09|1|2026-07-21|2026-07-21
33|10|R23-10|1|2026-07-21|2026-07-21
34|11|R24-11|1|2026-07-21|2026-07-21
35|1|H25-01|1|2026-07-21|2026-07-21
36|2|H26-02|1|2026-07-21|2026-07-21
37|3|E27-03|1|2026-07-21|2026-07-21
38|1|INI-028|1|2026-07-23|2026-07-23
39|1|INI-029|1|2026-07-23|2026-07-23
40|1|INI-030|1|2026-07-23|2026-07-23
41|1|INI-031|1|2026-07-23|2026-07-23
42|1|INI-032|1|2026-07-23|2026-07-23
43|1|INI-033|1|2026-07-23|2026-07-23
44|1|INI-034|1|2026-07-23|2026-07-23
45|1|INI-035|1|2026-07-23|2026-07-23
46|1|INI-036|1|2026-07-23|2026-07-23
47|1|INI-037|1|2026-07-23|2026-07-23
48|1|INI-038|1|2026-07-23|2026-07-23
49|1|INI-039|1|2026-07-23|2026-07-23
50|1|INI-040|1|2026-07-23|2026-07-23
51|1|INI-041|1|2026-07-23|2026-07-23
52|1|INI-042|1|2026-07-23|2026-07-23
53|1|INI-043|1|2026-07-23|2026-07-23
54|1|INI-044|1|2026-07-23|2026-07-23
55|1|INI-045|1|2026-07-23|2026-07-23
56|1|INI-046|1|2026-07-23|2026-07-23
57|1|INI-047|1|2026-07-23|2026-07-23
58|1|INI-048|1|2026-07-23|2026-07-23
59|1|INI-049|1|2026-07-23|2026-07-23
60|1|INI-050|1|2026-07-23|2026-07-23
61|1|INI-051|1|2026-07-23|2026-07-23
62|1|INI-052|1|2026-07-23|2026-07-23
63|1|INI-053|1|2026-07-23|2026-07-23
64|1|INI-064|1|2026-07-23|2026-07-23
65|1|INI-065|1|2026-07-23|2026-07-23
66|1|INI-066|1|2026-07-23|2026-07-23
67|1|INI-067|1|2026-07-23|2026-07-23
68|1|INI-068|1|2026-07-23|2026-07-23
69|1|INI-069|1|2026-07-23|2026-07-23
70|1|INI-070|1|2026-07-23|2026-07-23
71|1|INI-071|1|2026-07-23|2026-07-23
72|1|INI-072|1|2026-07-23|2026-07-23
73|1|INI-073|1|2026-07-23|2026-07-23
74|2|TR-001|1|2024-07-21|2024-07-21
75|4|TR-055|1|2026-07-03|2026-07-03
76|8|TR-059|1|2026-07-07|2026-07-07
77|2|TR-063|1|2026-07-11|2026-07-11
