id_inventario|id_producto|id_almacen|id_anaquel|stock|stock_reorden|stock_critico|stock_maximo|fecha_actualizacion
1|1|1|1|45.00|10.00|5.00|100.00|2024-07-21
2|2|1|2|200.00|50.00|20.00|500.00|2024-07-21
3|54|2|3|85.00|20.00|8.00|150.00|2026-07-20
4|55|3|4|14.00|10.00|4.00|50.00|2026-07-03
5|56|4|5|64.00|15.00|6.00|120.00|2026-07-20
6|57|5|6|9.00|12.00|5.00|40.00|2026-07-20
7|58|6|7|27.00|10.00|4.00|60.00|2026-07-20
8|59|7|8|25.00|12.00|5.00|80.00|2026-07-07
9|60|8|9|42.00|18.00|7.00|100.00|2026-07-20
10|61|9|10|56.00|20.00|8.00|120.00|2026-07-20
11|62|10|11|75.00|25.00|10.00|160.00|2026-07-20
12|63|11|12|5.00|20.00|8.00|100.00|2026-07-11
13|3|1|13|12.00|5.00|2.00|30.00|2026-07-21
14|4|2|14|95.00|30.00|12.00|220.00|2026-07-21
15|5|3|15|48.00|15.00|6.00|120.00|2026-07-21
16|6|4|16|37.00|12.00|5.00|90.00|2026-07-21
17|7|5|17|16.00|8.00|3.00|45.00|2026-07-21
18|8|6|18|14.00|7.00|3.00|40.00|2026-07-21
19|9|7|19|28.00|10.00|4.00|70.00|2026-07-21
20|10|8|20|76.00|25.00|10.00|180.00|2026-07-21
21|11|9|21|32.00|12.00|5.00|80.00|2026-07-21
22|12|10|22|44.00|20.00|8.00|100.00|2026-07-21
23|13|11|23|68.00|25.00|10.00|140.00|2026-07-21
24|14|1|24|53.00|20.00|8.00|120.00|2026-07-21
25|15|2|25|21.00|10.00|4.00|55.00|2026-07-21
26|16|3|26|30.00|12.00|5.00|75.00|2026-07-21
27|17|4|27|17.00|8.00|3.00|45.00|2026-07-21
28|18|5|28|11.00|6.00|2.00|35.00|2026-07-21
29|19|6|29|24.00|10.00|4.00|60.00|2026-07-21
30|20|7|30|13.00|8.00|3.00|40.00|2026-07-21
31|21|8|31|81.00|30.00|12.00|180.00|2026-07-21
32|22|9|32|39.00|15.00|6.00|90.00|2026-07-21
33|23|10|33|46.00|15.00|6.00|110.00|2026-07-21
34|24|11|34|62.00|20.00|8.00|140.00|2026-07-21
35|25|1|35|19.00|8.00|3.00|50.00|2026-07-21
36|26|2|36|22.00|9.00|4.00|55.00|2026-07-21
37|27|3|37|88.00|25.00|10.00|200.00|2026-07-21
38|28|1|38|10.00|5.00|2.00|50.00|2026-07-23
39|29|1|39|10.00|5.00|2.00|50.00|2026-07-23
40|30|1|40|10.00|5.00|2.00|50.00|2026-07-23
41|31|1|41|10.00|5.00|2.00|50.00|2026-07-23
42|32|1|42|10.00|5.00|2.00|50.00|2026-07-23
43|33|1|43|10.00|5.00|2.00|50.00|2026-07-23
44|34|1|44|10.00|5.00|2.00|50.00|2026-07-23
45|35|1|45|10.00|5.00|2.00|50.00|2026-07-23
46|36|1|46|10.00|5.00|2.00|50.00|2026-07-23
47|37|1|47|10.00|5.00|2.00|50.00|2026-07-23
48|38|1|48|10.00|5.00|2.00|50.00|2026-07-23
49|39|1|49|10.00|5.00|2.00|50.00|2026-07-23
50|40|1|50|10.00|5.00|2.00|50.00|2026-07-23
51|41|1|51|10.00|5.00|2.00|50.00|2026-07-23
52|42|1|52|10.00|5.00|2.00|50.00|2026-07-23
53|43|1|53|10.00|5.00|2.00|50.00|2026-07-23
54|44|1|54|10.00|5.00|2.00|50.00|2026-07-23
55|45|1|55|10.00|5.00|2.00|50.00|2026-07-23
56|46|1|56|10.00|5.00|2.00|50.00|2026-07-23
57|47|1|57|10.00|5.00|2.00|50.00|2026-07-23
58|48|1|58|10.00|5.00|2.00|50.00|2026-07-23
59|49|1|59|10.00|5.00|2.00|50.00|2026-07-23
60|50|1|60|10.00|5.00|2.00|50.00|2026-07-23
61|51|1|61|10.00|5.00|2.00|50.00|2026-07-23
62|52|1|62|10.00|5.00|2.00|50.00|2026-07-23
63|53|1|63|10.00|5.00|2.00|50.00|2026-07-23
64|64|1|64|10.00|5.00|2.00|50.00|2026-07-23
65|65|1|65|10.00|5.00|2.00|50.00|2026-07-23
66|66|1|66|10.00|5.00|2.00|50.00|2026-07-23
67|67|1|67|10.00|5.00|2.00|50.00|2026-07-23
68|68|1|68|10.00|5.00|2.00|50.00|2026-07-23
69|69|1|69|10.00|5.00|2.00|50.00|2026-07-23
70|70|1|70|10.00|5.00|2.00|50.00|2026-07-23
71|71|1|71|10.00|5.00|2.00|50.00|2026-07-23
72|72|1|72|10.00|5.00|2.00|50.00|2026-07-23
73|73|1|73|10.00|5.00|2.00|50.00|2026-07-23
74|1|2|74|5.00|10.00|5.00|100.00|2024-07-21
75|55|4|75|4.00|10.00|4.00|50.00|2026-07-03
76|59|8|76|8.00|12.00|5.00|80.00|2026-07-07
77|63|2|77|9.00|20.00|8.00|100.00|2026-07-11
