id_transferencia|id_empresa|folio|id_almacen_origen|id_almacen_destino|fecha_solicitud|fecha_autorizacion|fecha_recepcion|id_estado_transferencia|observaciones|id_usuario_solicita|id_usuario_autoriza
1|1|TR-0001|1|2|2024-07-20|2024-07-20|2024-07-21|4|Reposicion de inventario|1|1
2|1|TR-0002|2|3|2026-07-01|2026-07-01||3|Reabasto de papelería|2|1
3|1|TR-0003|3|4|2026-07-02|2026-07-02|2026-07-03|4|Herramientas para sucursal oriente|3|1
4|1|TR-0004|4|5|2026-07-03|||1|Solicitud de productos de limpieza|4|
5|1|TR-0005|5|6|2026-07-04|2026-07-04||2|Material de jardinería en preparación|5|1
6|1|TR-0006|6|7|2026-07-05|2026-07-05||3|Artículos deportivos en tránsito|6|1
7|1|TR-0007|7|8|2026-07-06|2026-07-06|2026-07-07|4|Juguetes recibidos completos|7|1
8|1|TR-0008|8|9|2026-07-07|||1|Solicitud de alimento para mascotas|8|
9|1|TR-0009|9|10|2026-07-08|2026-07-08||5|Cancelada por cambio de demanda|9|1
10|1|TR-0010|10|11|2026-07-09|2026-07-09||3|Bebidas enviadas a sucursal sureste|10|1
11|1|TR-0011|11|2|2026-07-10|2026-07-10|2026-07-11|4|Galletas recibidas en almacén norte|11|1
