id_movimiento|id_producto|id_almacen|id_tipo_movimiento|existencia|cantidad|costo_unitario|observaciones|referencia|fecha|id_usuario
1|1|1|1|50.00|50.00|5000.00|Inventario inicial|INV-001|2024-01-02|1
2|2|1|1|200.00|200.00|15.00|Inventario inicial|INV-001|2024-01-02|1
3|54|2|1|85.00|85.00|38.00|Inventario inicial|INV-054|2026-07-11|2
4|55|3|1|18.00|18.00|185.00|Inventario inicial|INV-055|2026-07-02|3
5|56|4|1|64.00|64.00|42.00|Inventario inicial|INV-056|2026-07-13|4
6|57|5|1|9.00|9.00|145.00|Inventario inicial|INV-057|2026-07-14|5
7|58|6|1|27.00|27.00|210.00|Inventario inicial|INV-058|2026-07-15|6
8|59|7|1|33.00|33.00|260.00|Inventario inicial|INV-059|2026-07-06|7
9|60|8|1|42.00|42.00|175.00|Inventario inicial|INV-060|2026-07-17|8
10|61|9|1|56.00|56.00|98.00|Inventario inicial|INV-061|2026-07-18|9
11|62|10|1|75.00|75.00|52.00|Inventario inicial|INV-062|2026-07-19|10
12|63|11|1|14.00|14.00|31.00|Inventario inicial|INV-063|2026-07-10|11
13|3|1|1|12.00|12.00|12500.00|Inventario inicial|INV-003|2026-07-11|1
14|4|2|1|95.00|95.00|28.00|Inventario inicial|INV-004|2026-07-11|2
15|5|3|1|48.00|48.00|145.00|Inventario inicial|INV-005|2026-07-12|3
16|6|4|1|37.00|37.00|310.00|Inventario inicial|INV-006|2026-07-12|4
17|7|5|1|16.00|16.00|620.00|Inventario inicial|INV-007|2026-07-13|5
18|8|6|1|14.00|14.00|780.00|Inventario inicial|INV-008|2026-07-13|6
19|9|7|1|28.00|28.00|890.00|Inventario inicial|INV-009|2026-07-14|7
20|10|8|1|76.00|76.00|95.00|Inventario inicial|INV-010|2026-07-14|8
21|11|9|1|32.00|32.00|540.00|Inventario inicial|INV-011|2026-07-15|9
22|12|10|1|44.00|44.00|65.00|Inventario inicial|INV-012|2026-07-15|10
23|13|11|1|68.00|68.00|32.00|Inventario inicial|INV-013|2026-07-16|11
24|14|1|1|53.00|53.00|48.00|Inventario inicial|INV-014|2026-07-16|1
25|15|2|1|21.00|21.00|720.00|Inventario inicial|INV-015|2026-07-17|2
26|16|3|1|30.00|30.00|330.00|Inventario inicial|INV-016|2026-07-17|3
27|17|4|1|17.00|17.00|510.00|Inventario inicial|INV-017|2026-07-18|4
28|18|5|3|11.00|-2.00|1450.00|Conteo físico menor al sistema|AJ-0018|2026-07-18|5
29|19|6|3|24.00|2.00|2100.00|Equipo localizado en recepción|AJ-0019|2026-07-18|6
30|20|7|3|13.00|-2.00|1850.00|Merma por daño de empaque|AJ-0020|2026-07-19|7
31|21|8|3|81.00|3.00|35.00|Corrección de conteo de inventario|AJ-0021|2026-07-19|8
32|22|9|3|39.00|-2.00|92.00|Producto dañado en almacén|AJ-0022|2026-07-19|9
33|23|10|3|46.00|2.00|110.00|Devolución reincorporada|AJ-0023|2026-07-20|10
34|24|11|3|62.00|2.00|75.00|Diferencia favorable en conteo|AJ-0024|2026-07-20|11
