id_imagen|id_producto|url_imagen|es_principal|orden
1|1|https://cdn.supermart.com/img/sku001_front.jpg|1|1
2|2|https://cdn.supermart.com/img/sku002_box.jpg|1|1
3|54|https://cdn.supermart.com/img/sku054.jpg|1|1
4|55|https://cdn.supermart.com/img/sku055.jpg|1|1
5|56|https://cdn.supermart.com/img/sku056.jpg|1|1
6|57|https://cdn.supermart.com/img/sku057.jpg|1|1
7|58|https://cdn.supermart.com/img/sku058.jpg|1|1
8|59|https://cdn.supermart.com/img/sku059.jpg|1|1
9|60|https://cdn.supermart.com/img/sku060.jpg|1|1
10|61|https://cdn.supermart.com/img/sku061.jpg|1|1
11|62|https://cdn.supermart.com/img/sku062.jpg|1|1
12|63|https://cdn.supermart.com/img/sku063.jpg|1|1
13|3|https://cdn.supermart.com/img/sku003.jpg|1|1
14|4|https://cdn.supermart.com/img/sku004.jpg|1|1
15|5|https://cdn.supermart.com/img/sku005.jpg|1|1
16|6|https://cdn.supermart.com/img/sku006.jpg|1|1
17|7|https://cdn.supermart.com/img/sku007.jpg|1|1
18|8|https://cdn.supermart.com/img/sku008.jpg|1|1
19|9|https://cdn.supermart.com/img/sku009.jpg|1|1
20|10|https://cdn.supermart.com/img/sku010.jpg|1|1
21|11|https://cdn.supermart.com/img/sku011.jpg|1|1
22|12|https://cdn.supermart.com/img/sku012.jpg|1|1
23|13|https://cdn.supermart.com/img/sku013.jpg|1|1
24|14|https://cdn.supermart.com/img/sku014.jpg|1|1
25|15|https://cdn.supermart.com/img/sku015.jpg|1|1
26|16|https://cdn.supermart.com/img/sku016.jpg|1|1
27|17|https://cdn.supermart.com/img/sku017.jpg|1|1
28|18|https://cdn.supermart.com/img/sku018.jpg|1|1
29|19|https://cdn.supermart.com/img/sku019.jpg|1|1
30|20|https://cdn.supermart.com/img/sku020.jpg|1|1
31|21|https://cdn.supermart.com/img/sku021.jpg|1|1
32|22|https://cdn.supermart.com/img/sku022.jpg|1|1
33|23|https://cdn.supermart.com/img/sku023.jpg|1|1
34|24|https://cdn.supermart.com/img/sku024.jpg|1|1
35|25|https://cdn.supermart.com/img/sku025.jpg|1|1
36|26|https://cdn.supermart.com/img/sku026.jpg|1|1
37|27|https://cdn.supermart.com/img/sku027.jpg|1|1
