id_producto|id_empresa|sku|codigo_barras|nombre_producto|tipo|descripcion|id_marca|id_categoria|id_unidad|estatus|ubicacion_default|en_punto_venta|en_catalogo_linea|requiere_receta|usar_existencias|clave_sat|fecha_creacion|fecha_actualizacion
64|1|KIT002|750999000112|Kit Home Office|Kit|Monitor, teclado y mouse para oficina en casa|1|2|1|Vigente|Pasillo 3|1|1|0|1|43211700|2026-07-13|2026-07-13
65|1|KIT003|750999000113|Kit Móvil Premium|Kit|Smartphone y audífonos inalámbricos|1|2|1|Vigente|Pasillo 3|1|1|0|1|43191500|2026-07-14|2026-07-14
66|1|KIT004|750999000114|Kit Desayuno Completo|Kit|Cafetera, tostadora y hervidor eléctrico|4|5|1|Vigente|Pasillo 4|1|1|0|1|52141500|2026-07-15|2026-07-15
67|1|KIT005|750999000115|Kit Deportivo Running|Kit|Camiseta, tenis y calcetines deportivos|3|4|1|Vigente|Pasillo 2|1|1|0|1|53102900|2026-07-16|2026-07-16
68|1|KIT006|750999000116|Kit Botiquín Básico|Kit|Analgésicos y antihistamínico para el hogar|2|3|3|Vigente|Pasillo 1|1|0|0|1|42172001|2026-07-17|2026-07-17
69|1|KIT007|750999000117|Kit Laptop Profesional|Kit|Laptop, mochila y memoria USB|1|2|1|Vigente|Pasillo 3|1|1|0|1|43211500|2026-07-18|2026-07-18
70|1|KIT008|750999000118|Kit Limpieza Total|Kit|Limpiador, gel antibacterial y alcohol|7|8|5|Vigente|Pasillo 7|1|1|0|1|47131800|2026-07-19|2026-07-19
71|1|KIT009|750999000119|Kit Gamer Inicial|Kit|Teclado mecánico, mouse y audífonos|1|2|1|Vigente|Pasillo 3|1|1|0|1|43211700|2026-07-20|2026-07-20
72|1|KIT010|750999000120|Kit Cocina Familiar|Kit|Juego de sartenes y batería de cocina|4|5|1|Vigente|Pasillo 4|1|1|0|1|52151800|2026-07-21|2026-07-21
73|1|KIT011|750999000121|Kit Escolar Digital|Kit|Cuadernos y memoria USB para estudiantes|5|6|1|Vigente|Pasillo 5|1|1|0|1|60121000|2026-07-22|2026-07-22
53|1|KIT001|750999000111|Kit Oficina Esencial|Kit|Kit con teclado, mouse y memoria USB|1|2|1|Vigente|Pasillo 3|1|1|0|1|43211700|2024-01-28|2024-01-28
1|1|SKU001|750123456789|Smartphone X|Físico|Teléfono inteligente 128GB|1|2|1|Vigente|Pasillo 3|1|1|0|1|43191501|2024-01-02|2024-01-02
2|1|SKU002|750987654321|Paracetamol 500mg|Físico|Caja con 20 tabletas|2|3|3|Vigente|Pasillo 1|1|0|0|1|51142000|2024-01-02|2024-01-02
3|1|SKU003|750111222333|Laptop Pro 15|Físico|Laptop con 16GB RAM y 512GB SSD|1|2|1|Vigente|Pasillo 3|1|1|0|1|43211503|2024-01-03|2024-01-03
4|1|SKU004|750222333444|Ibuprofeno 400mg|Físico|Caja con 30 cápsulas|2|3|3|Vigente|Pasillo 1|1|0|0|1|51142001|2024-01-03|2024-01-03
5|1|SKU005|750333444555|Camiseta Deportiva|Físico|Camisetadry-fit para caballero Talla M|3|4|1|Vigente|Pasillo 2|1|1|0|1|53101802|2024-01-04|2024-01-04
6|1|SKU006|750444555666|Pantalón de Mezclilla|Físico|Pantalón corte clásico Talla 32|3|4|1|Vigente|Pasillo 2|1|1|0|1|53101804|2024-01-04|2024-01-04
7|1|SKU007|750555666777|Cafetera Eléctrica|Físico|Cafetera de goteo 12 tazas|4|5|1|Vigente|Pasillo 4|1|1|0|1|52141502|2024-01-05|2024-01-05
8|1|SKU008|750666777888|Licuadora  velocidades|Físico|Licuadora de vaso de vidrio 600W|4|5|1|Vigente|Pasillo 4|1|1|0|1|52141504|2024-01-05|2024-01-05
9|1|SKU009|750777888999|Audífonos Inalámbricos|Físico|Audífonos Bluetooth con cancelación de ruido|1|2|1|Vigente|Pasillo 3|1|1|0|1|52161514|2024-01-06|2024-01-06
10|1|SKU010|750888999000|Mouse Óptico USB|Físico|Mouse ergonómico alámbrico|1|2|1|Vigente|Pasillo 3|1|1|0|1|43211708|2024-01-06|2024-01-06
11|1|SKU011|750123987654|Teclado Mecánico RGB|Físico|Teclado para gamer switch blue|1|2|1|Vigente|Pasillo 3|1|1|0|1|43211706|2024-01-07|2024-01-07
