id_inventario|id_producto|id_almacen|lote|fecha_caducidad|stock|stock_reorden|stock_critico|stock_maximo|anaquel|fecha_actualizacion
1|1|1|||50.00|10.00|5.00|100.00|A1-01|2024-07-21
2|2|1|LOTE-992|2026-12-31|200.00|50.00|20.00|500.00|B2-04|2024-07-21
3|54|2|||85.00|20.00|8.00|150.00|P5-01|2026-07-20
4|55|3|||18.00|10.00|4.00|50.00|F6-02|2026-07-20
5|56|4|LIM-2607|2028-07-31|64.00|15.00|6.00|120.00|L7-03|2026-07-20
6|57|5|||9.00|12.00|5.00|40.00|J8-04|2026-07-20
7|58|6|||27.00|10.00|4.00|60.00|D9-05|2026-07-20
8|59|7|||33.00|12.00|5.00|80.00|T10-06|2026-07-20
9|60|8|ALI-2607|2027-01-15|42.00|18.00|7.00|100.00|M11-07|2026-07-20
10|61|9|ACE-2607|2030-06-30|56.00|20.00|8.00|120.00|A12-08|2026-07-20
11|62|10|BEB-2607|2026-09-30|75.00|25.00|10.00|160.00|B13-09|2026-07-20
12|63|11|GAL-2607|2026-10-20|14.00|20.00|8.00|100.00|C14-10|2026-07-20
13|3|1|||12.00|5.00|2.00|30.00|E3-01|2026-07-21
14|4|2|IBU-2607|2027-05-31|95.00|30.00|12.00|220.00|F4-02|2026-07-21
15|5|3|||48.00|15.00|6.00|120.00|R5-03|2026-07-21
16|6|4|||37.00|12.00|5.00|90.00|R6-04|2026-07-21
17|7|5|||16.00|8.00|3.00|45.00|H7-05|2026-07-21
18|8|6|||14.00|7.00|3.00|40.00|H8-06|2026-07-21
19|9|7|||28.00|10.00|4.00|70.00|E9-07|2026-07-21
20|10|8|||76.00|25.00|10.00|180.00|E10-08|2026-07-21
21|11|9|||32.00|12.00|5.00|80.00|E11-09|2026-07-21
22|12|10|AMX-2607|2027-03-31|44.00|20.00|8.00|100.00|F12-10|2026-07-21
23|13|11|LOR-2607|2027-04-30|68.00|25.00|10.00|140.00|F13-11|2026-07-21
24|14|1|OME-2607|2027-06-30|53.00|20.00|8.00|120.00|F14-01|2026-07-21
25|15|2|||21.00|10.00|4.00|55.00|R15-02|2026-07-21
26|16|3|||30.00|12.00|5.00|75.00|R16-03|2026-07-21
27|17|4|||17.00|8.00|3.00|45.00|H17-04|2026-07-21
28|18|5|||11.00|6.00|2.00|35.00|H18-05|2026-07-21
29|19|6|||24.00|10.00|4.00|60.00|E19-06|2026-07-21
30|20|7|||13.00|8.00|3.00|40.00|E20-07|2026-07-21
31|21|8|ASP-2607|2027-02-28|81.00|30.00|12.00|180.00|F21-08|2026-07-21
32|22|9|VIT-2607|2027-08-31|39.00|15.00|6.00|90.00|F22-09|2026-07-21
33|23|10|||46.00|15.00|6.00|110.00|R23-10|2026-07-21
34|24|11|||62.00|20.00|8.00|140.00|R24-11|2026-07-21
35|25|1|||19.00|8.00|3.00|50.00|H25-01|2026-07-21
36|26|2|||22.00|9.00|4.00|55.00|H26-02|2026-07-21
37|27|3|||88.00|25.00|10.00|200.00|E27-03|2026-07-21
