id_producto|id_empresa|sku|codigo_barras|nombre_producto|tipo|descripcion|id_marca|id_categoria|id_unidad|estatus|ubicacion_default|en_punto_venta|en_catalogo_linea|requiere_receta|usar_existencias|usar_lotes_caducidades|clave_sat|fecha_creacion|fecha_actualizacion
53|1|KIT001|750999000111|Kit Oficina Esencial|Kit|Kit con teclado, mouse y memoria USB|1|2|1|Vigente|Pasillo 3|1|1|0|1|0|43211700|2024-01-28|2024-01-28
1|1|SKU001|750123456789|Smartphone X|Físico|Teléfono inteligente 128GB|1|2|1|Vigente|Pasillo 3|1|1|0|1|0|43191501|2024-01-02|2024-01-02
2|1|SKU002|750987654321|Paracetamol 500mg|Físico|Caja con 20 tabletas|2|3|3|Vigente|Pasillo 1|1|0|0|1|1|51142000|2024-01-02|2024-01-02
3|1|SKU003|750111222333|Laptop Pro 15|Físico|Laptop con 16GB RAM y 512GB SSD|1|2|1|Vigente|Pasillo 3|1|1|0|1|0|43211503|2024-01-03|2024-01-03
4|1|SKU004|750222333444|Ibuprofeno 400mg|Físico|Caja con 30 cápsulas|2|3|3|Vigente|Pasillo 1|1|0|0|1|1|51142001|2024-01-03|2024-01-03
5|1|SKU005|750333444555|Camiseta Deportiva|Físico|Camisetadry-fit para caballero Talla M|3|4|1|Vigente|Pasillo 2|1|1|0|1|0|53101802|2024-01-04|2024-01-04
6|1|SKU006|750444555666|Pantalón de Mezclilla|Físico|Pantalón corte clásico Talla 32|3|4|1|Vigente|Pasillo 2|1|1|0|1|0|53101804|2024-01-04|2024-01-04
7|1|SKU007|750555666777|Cafetera Eléctrica|Físico|Cafetera de goteo 12 tazas|4|5|1|Vigente|Pasillo 4|1|1|0|1|0|52141502|2024-01-05|2024-01-05
8|1|SKU008|750666777888|Licuadora  velocidades|Físico|Licuadora de vaso de vidrio 600W|4|5|1|Vigente|Pasillo 4|1|1|0|1|0|52141504|2024-01-05|2024-01-05
9|1|SKU009|750777888999|Audífonos Inalámbricos|Físico|Audífonos Bluetooth con cancelación de ruido|1|2|1|Vigente|Pasillo 3|1|1|0|1|0|52161514|2024-01-06|2024-01-06
10|1|SKU010|750888999000|Mouse Óptico USB|Físico|Mouse ergonómico alámbrico|1|2|1|Vigente|Pasillo 3|1|1|0|1|0|43211708|2024-01-06|2024-01-06
11|1|SKU011|750123987654|Teclado Mecánico RGB|Físico|Teclado para gamer switch blue|1|2|1|Vigente|Pasillo 3|1|1|0|1|0|43211706|2024-01-07|2024-01-07
12|1|SKU012|750987123456|Amoxicilina 500mg|Físico|Caja con 15 cápsulas|2|3|3|Vigente|Pasillo 1|1|0|1|1|1|51141802|2024-01-07|2024-01-07
13|1|SKU013|750111333555|Loratadina 10mg|Físico|Caja con 20 tabletas para alergias|2|3|3|Vigente|Pasillo 1|1|0|0|1|1|51141804|2024-01-08|2024-01-08
14|1|SKU014|750222444666|Omeprazol 20mg|Físico|Caja con 14 cápsulas de liberación demorada|2|3|3|Vigente|Pasillo 1|1|0|0|1|1|51142002|2024-01-08|2024-01-08
15|1|SKU015|750333555777|Tenis Deportivos Running|Físico|Calzado deportivo para correr Talla 27|3|4|1|Vigente|Pasillo 2|1|1|0|1|0|53102001|2024-01-09|2024-01-09
16|1|SKU016|750444666888|Sudadera con Capucha|Físico|Sudadera lisa con bolsa frontal Talla G|3|4|1|Vigente|Pasillo 2|1|1|0|1|0|53101815|2024-01-09|2024-01-09
17|1|SKU017|750555777999|Plancha de Vapor|Físico|Plancha con suela de cerámica y autolimpieza|4|5|1|Vigente|Pasillo 4|1|1|0|1|0|52141602|2024-01-10|2024-01-10
18|1|SKU018|750666888000|Microondas 0.7 Pies|Físico|Horno de microondas digital color blanco|4|5|1|Vigente|Pasillo 4|1|1|0|1|0|52141510|2024-01-10|2024-01-10
19|1|SKU019|750777999111|Monitor 24 Pulgadas|Físico|Monitor LED Full HD 75Hz|1|2|1|Vigente|Pasillo 3|1|1|0|1|0|43211902|2024-01-11|2024-01-11
20|1|SKU020|750888111222|Impresora Multifuncional|Físico|Impresora de inyección de tinta color|1|2|1|Vigente|Pasillo 3|1|1|0|1|0|43212110|2024-01-11|2024-01-11
21|1|SKU021|750135792468|Aspirina 500mg|Físico|Caja con 40 tabletas analgésicas|2|3|3|Vigente|Pasillo 1|1|0|0|1|1|51142003|2024-01-12|2024-01-12
22|1|SKU022|750246813579|Vitamina C 1000mg|Físico|Frasco con 60 tabletas efervescentes|2|3|3|Vigente|Pasillo 1|1|0|0|1|1|51191900|2024-01-12|2024-01-12
23|1|SKU023|750369258147|Gorra Casual Ajustable|Físico|Gorra deportiva color negro unitalla|3|4|1|Vigente|Pasillo 2|1|1|0|1|0|53102501|2024-01-13|2024-01-13
24|1|SKU024|750147258369|Calcetines Deportivos|Físico|Paquete con 3 pares de calcetines blancos|3|4|1|Vigente|Pasillo 2|1|1|0|1|0|53102401|2024-01-13|2024-01-13
25|1|SKU025|750258369147|Batidora de Inmersión|Físico|Batidora de mano con vaso medidor|4|5|1|Vigente|Pasillo 4|1|1|0|1|0|52141505|2024-01-14|2024-01-14
26|1|SKU026|750369147258|Tostadora de Pan|Físico|Tostadora de 2 ranuras acero inoxidable|4|5|1|Vigente|Pasillo 4|1|1|0|1|0|52141508|2024-01-14|2024-01-14
27|1|SKU027|750741852963|Cable HDMI 2 metros|Físico|Cable de alta velocidad con conectores dorados|1|2|1|Vigente|Pasillo 3|1|1|0|1|0|39121408|2024-01-15|2024-01-15
28|1|SKU028|750852963741|Memoria USB 64GB|Físico|Unidad flash USB 3.0 alta velocidad|1|2|1|Vigente|Pasillo 3|1|1|0|1|0|43202004|2024-01-15|2024-01-15
29|1|SKU029|750963741852|Disco Duro Externo 1TB|Físico|Disco duro portátil USB 3.0|1|2|1|Vigente|Pasillo 3|1|1|0|1|0|43201803|2024-01-16|2024-01-16
30|1|SKU030|750159357753|Naproxeno 550mg|Físico|Caja con 12 tabletas analgésicas|2|3|3|Vigente|Pasillo 1|1|0|0|1|1|51142004|2024-01-16|2024-01-16
31|1|SKU031|750357159537|Gel Antibacterial 500ml|Físico|Frasco dosificador con alcohol al 70%|2|3|3|Vigente|Pasillo 1|1|0|0|1|1|51121701|2024-01-17|2024-01-17
32|1|SKU032|750753159357|Cinturón de Piel|Físico|Cinturón formal para caballero Talla 34|3|4|1|Vigente|Pasillo 2|1|1|0|1|0|53102301|2024-01-17|2024-01-17
33|1|SKU033|750951357753|Mochila para Laptop|Físico|Mochila reforzada con compartimento acolchado|3|4|1|Vigente|Pasillo 2|1|1|0|1|0|53121503|2024-01-18|2024-01-18
34|1|SKU034|750123789456|Sandwichera eléctrica|Físico|Prensa para sándwiches antiadherente|4|5|1|Vigente|Pasillo 4|1|1|0|1|0|52141512|2024-01-18|2024-01-18
35|1|SKU035|750456789123|Hervidor de Agua Eléctrico|Físico|Jarra eléctrica 1.7 litros apagado automático|4|5|1|Vigente|Pasillo 4|1|1|0|1|0|52141515|2024-01-19|2024-01-19
36|1|SKU036|750789123456|Hub USB 4 Puertos|Físico|Concentrador USB 2.0 de alta velocidad|1|2|1|Vigente|Pasillo 3|1|1|0|1|0|43211603|2024-01-19|2024-01-19
37|1|SKU037|750321654987|Tablet 10 Pulgadas|Físico|Tablet con 64GB de almacenamiento y WiFi|1|2|1|Vigente|Pasillo 3|1|1|0|1|0|43211509|2024-01-20|2024-01-20
38|1|SKU038|750654987321|Diclofenaco 100mg|Físico|Caja con 20 tabletas de liberación prolongada|2|3|3|Vigente|Pasillo 1|1|0|1|1|1|51142005|2024-01-20|2024-01-20
39|1|SKU039|750987321654|Termómetro Digital|Físico|Termómetro clínico infrarrojo sin contacto|2|3|3|Vigente|Pasillo 1|1|0|0|1|1|42182201|2024-01-21|2024-01-21
40|1|SKU040|750112233445|Playera Polo Casual|Físico|Playera tipo polo manga corta Talla CH|3|4|1|Vigente|Pasillo 2|1|1|0|1|0|53101803|2024-01-21|2024-01-21
41|1|SKU041|750223344556|Chamarra Impermeable|Físico|Chamarra térmica con capucha Talla G|3|4|1|Vigente|Pasillo 2|1|1|0|1|0|53101810|2024-01-22|2024-01-22
42|1|SKU042|750334455667|Sartenes Antiadherentes|Físico|Juego de 2 sartenes de aluminio con teflón|4|5|1|Vigente|Pasillo 4|1|1|0|1|0|52151802|2024-01-22|2024-01-22
43|1|SKU043|750445566778|Batería de Cocina|Físico|Set de 5 piezas de acero inoxidable|4|5|1|Vigente|Pasillo 4|1|1|0|1|0|52151801|2024-01-23|2024-01-23
44|1|SKU044|750556677889|Bocina Bluetooth Portátil|Físico|Bocina inalámbrica resistente al agua IPX7|1|2|1|Vigente|Pasillo 3|1|1|0|1|0|52161512|2024-01-23|2024-01-23
45|1|SKU045|750667788990|Tripie para Cámara|Físico|Soporte ajustable de aluminio para fotografía|1|2|1|Vigente|Pasillo 3|1|1|0|1|0|45121610|2024-01-24|2024-01-24
46|1|SKU046|750778899001|Metamizol Sódico 500mg|Físico|Caja con 10 ampolletas inyectables|2|3|3|Vigente|Pasillo 1|1|0|1|1|1|51142006|2024-01-24|2024-01-24
47|1|SKU047|750889900112|Alcohol Etílico 1 Litro|Físico|Frasco con alcohol desnaturalizado al 96%|2|3|3|Vigente|Pasillo 1|1|0|0|1|1|51121702|2024-01-25|2024-01-25
48|1|SKU048|750990011223|Short Deportivo|Físico|Short transpirable para ejercicio Talla M|3|4|1|Vigente|Pasillo 2|1|1|0|1|0|53101901|2024-01-25|2024-01-25
49|1|SKU049|750101122334|Leggings Deportivos|Físico|Mallas de compresión para dama Talla CH|3|4|1|Vigente|Pasillo 2|1|1|0|1|0|53101905|2024-01-26|2024-01-26
50|1|SKU050|750212233445|Exprimidor de Cítricos|Físico|Exprimidor eléctrico de jugos con cono reversible|4|5|1|Vigente|Pasillo 4|1|1|0|1|0|52141506|2024-01-26|2024-01-26
51|1|SKU051|750323344556|Wafflera Belga|Físico|Máquina para hacer waffles con placas antiadherentes|4|5|1|Vigente|Pasillo 4|1|1|0|1|0|52141518|2024-01-27|2024-01-27
52|1|SKU052|750434455667|Estabilizador de Corriente|Físico|Regulador de voltaje 8 contactos contra pastilla|1|2|1|Vigente|Pasillo 3|1|1|0|1|0|39121011|2024-01-27|2024-01-27
