id_precio|id_producto|id_lista_precio|precio_costo|precio_venta|margen_ganancia|fecha_inicio|fecha_fin
3|53|1|650.00|899.00|38.31|2024-01-28|
1|1|1|5000.00|7500.00|50.00|2024-01-01|
2|2|1|15.00|45.00|200.00|2024-01-01|
4|54|1|38.00|55.00|44.74|2026-07-01|
5|55|1|185.00|269.00|45.41|2026-07-02|
6|56|1|42.00|68.00|61.90|2026-07-03|
7|57|1|145.00|219.00|51.03|2026-07-04|
8|58|1|210.00|329.00|56.67|2026-07-05|
9|59|1|260.00|399.00|53.46|2026-07-06|
10|60|1|175.00|249.00|42.29|2026-07-07|
11|61|1|98.00|149.00|52.04|2026-07-08|
12|62|1|52.00|78.00|50.00|2026-07-09|
13|63|1|31.00|49.00|58.06|2026-07-10|
14|3|1|12500.00|16499.00|31.99|2026-07-11|
15|4|1|28.00|62.00|121.43|2026-07-11|
16|5|1|145.00|249.00|71.72|2026-07-11|
17|6|1|310.00|499.00|60.97|2026-07-11|
18|7|1|620.00|899.00|45.00|2026-07-11|
19|8|1|780.00|1149.00|47.31|2026-07-11|
20|9|1|890.00|1399.00|57.19|2026-07-11|
21|10|1|95.00|169.00|77.89|2026-07-11|
22|11|1|540.00|849.00|57.22|2026-07-11|
23|12|1|65.00|119.00|83.08|2026-07-11|
24|13|1|32.00|68.00|112.50|2026-07-11|
25|14|1|48.00|89.00|85.42|2026-07-11|
26|15|1|720.00|1099.00|52.64|2026-07-11|
27|16|1|330.00|549.00|66.36|2026-07-11|
28|17|1|510.00|799.00|56.67|2026-07-11|
29|18|1|1450.00|2099.00|44.76|2026-07-11|
30|19|1|2100.00|2999.00|42.81|2026-07-11|
31|20|1|1850.00|2699.00|45.89|2026-07-11|
32|21|1|35.00|72.00|105.71|2026-07-11|
33|22|1|92.00|159.00|72.83|2026-07-11|
34|23|1|110.00|199.00|80.91|2026-07-11|
35|24|1|75.00|129.00|72.00|2026-07-11|
36|25|1|460.00|749.00|62.83|2026-07-11|
37|26|1|390.00|629.00|61.28|2026-07-11|
38|27|1|58.00|109.00|87.93|2026-07-11|
39|28|1|95.00|169.00|77.89|2026-07-12|
40|29|1|980.00|1499.00|52.96|2026-07-12|
41|30|1|38.00|75.00|97.37|2026-07-12|
42|31|1|46.00|79.00|71.74|2026-07-12|
43|32|1|180.00|299.00|66.11|2026-07-12|
44|33|1|420.00|699.00|66.43|2026-07-12|
45|34|1|510.00|799.00|56.67|2026-07-12|
46|35|1|390.00|649.00|66.41|2026-07-12|
47|36|1|85.00|149.00|75.29|2026-07-12|
48|37|1|2850.00|4199.00|47.33|2026-07-12|
49|38|1|72.00|135.00|87.50|2026-07-12|
50|39|1|340.00|549.00|61.47|2026-07-12|
51|40|1|190.00|329.00|73.16|2026-07-12|
52|41|1|620.00|999.00|61.13|2026-07-12|
53|42|1|480.00|749.00|56.04|2026-07-12|
54|43|1|1150.00|1699.00|47.74|2026-07-12|
55|44|1|520.00|849.00|63.27|2026-07-12|
56|45|1|260.00|449.00|72.69|2026-07-12|
57|46|1|88.00|165.00|87.50|2026-07-12|
58|47|1|54.00|95.00|75.93|2026-07-12|
59|48|1|155.00|269.00|73.55|2026-07-12|
60|49|1|175.00|299.00|70.86|2026-07-12|
61|50|1|310.00|529.00|70.65|2026-07-12|
62|51|1|590.00|949.00|60.85|2026-07-12|
63|52|1|420.00|699.00|66.43|2026-07-12|
64|64|1|2735.00|3599.00|31.59|2026-07-13|
65|65|1|5890.00|7999.00|35.81|2026-07-14|
66|66|1|1400.00|1999.00|42.79|2026-07-15|
67|67|1|940.00|1399.00|48.83|2026-07-16|
68|68|1|75.00|149.00|98.67|2026-07-17|
69|69|1|13015.00|16999.00|30.61|2026-07-18|
70|70|1|184.00|299.00|62.50|2026-07-19|
71|71|1|1525.00|2199.00|44.20|2026-07-20|
72|72|1|1630.00|2299.00|41.04|2026-07-21|
73|73|1|209.00|329.00|57.42|2026-07-22|
