id_rol|id_empresa|nombre|descripcion|activo|fecha_creacion|fecha_actualizacion|creado_por_usuario|actualizado_por_usuario
1|1|Administrador|Acceso total al sistema|1|2024-01-01|2024-01-01|1|1
2|1|Cajero|Acceso solo a punto de venta|1|2024-01-01|2024-01-01|1|1
3|1|Supervisor|Supervisa operaciones y cierres|1|2024-02-01|2024-02-01|1|1
4|1|Almacenista|Gestiona existencias y movimientos|1|2024-02-02|2024-02-02|1|1
5|1|Comprador|Gestiona proveedores y compras|1|2024-02-03|2024-02-03|1|1
6|1|Auditor|Consulta reportes y trazabilidad|1|2024-02-04|2024-02-04|1|1
7|1|Gerente|Administra la operación de sucursal|1|2024-02-05|2024-02-05|1|1
8|1|Vendedor|Opera ventas y consulta productos|1|2024-02-06|2024-02-06|1|1
9|1|Contador|Consulta costos y reportes financieros|1|2024-02-07|2024-02-07|1|1
10|1|Capturista|Registra información de catálogos|1|2024-02-08|2024-02-08|1|1
11|1|Soporte|Atiende configuración e incidencias|1|2024-02-09|2024-02-09|1|1
12|1|Consulta|Acceso de solo lectura|1|2024-02-10|2024-02-10|1|1
